Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1,Kareem Abdul-Jabbar*,C,27,MIL,65,2747,26.4,0.55,,0.269,7.6,26.4,17.3,16.7,1.1,4,,,8.1,4.8,12.9,0.225,5.8,1.8,7.6,6.7
2,Bob McAdoo*,C,23,BUF,82,3539,25.8,0.569,,0.372,9.2,23.5,16.6,8.6,1.2,2.4,,,12.7,5.1,17.8,0.242,5.1,-0.4,4.7,6
3,Bob Lanier*,C,26,DET,76,2987,24.4,0.559,,0.314,8.4,25.1,16.8,19.9,1.2,3.1,,,8.6,3.8,12.4,0.199,4.9,1.2,6.1,6.1
4,Rick Barry*,SF,30,GSW,80,3235,23.5,0.509,,0.197,2.8,11,6.9,24.5,3.1,0.5,,,8.9,3.7,12.7,0.188,4.5,0.4,4.9,5.7
5,Tiny Archibald*,PG,26,KCO,82,3244,21.7,0.544,,0.45,1.5,5.6,3.5,29,1.7,0.1,,,9,2.2,11.2,0.165,3.6,-1.3,2.4,3.6
6,John Drew,PF,20,ATL,78,2289,21.4,0.491,,0.442,14.4,21.7,17.8,9.5,2.3,0.9,,,4.2,3,7.1,0.149,2.4,-0.9,1.5,2
7,Walt Frazier*,PG,29,NYK,78,3204,19.9,0.534,,0.288,2.9,12.4,7.6,23.1,2.8,0.2,,,7.2,3.5,10.8,0.161,2.7,1,3.8,4.7
8,Fred Brown,SG,26,SEA,81,2669,19.8,0.513,,0.177,4.3,8.9,6.6,17.7,3.2,0.3,,,5,2.9,7.9,0.142,2.4,0.6,3,3.4
9,Sidney Wicks,PF,25,POR,82,3162,19.7,0.543,,0.401,8,20.5,14.5,14.2,1.6,1.3,,,5.7,4,9.7,0.147,2.3,-0.1,2.2,3.4
10,Chet Walker*,SF,34,CHI,76,2452,19.5,0.568,,0.446,4.9,13.6,9.3,11.8,1,0.1,,,7.6,2.9,10.5,0.205,3.2,-0.7,2.5,2.8
11,Dave Cowens*,C,26,BOS,65,2632,19.3,0.509,,0.204,8.7,27.3,18.1,16.3,1.5,1.4,,,4.3,5.2,9.5,0.173,2.2,1.5,3.8,3.9
12,Billy Cunningham*,SF,31,PHI,80,2859,19.2,0.483,,0.312,4.6,21.3,12.9,24.7,1.5,0.6,,,2.7,3.5,6.1,0.103,1.9,0.4,2.2,3.1
13,Elvin Hayes*,PF,29,WSB,82,3465,19,0.496,,0.32,6.4,22.7,14.5,8.7,2.1,2.9,,,4.3,8.2,12.5,0.173,1.6,1.7,3.3,4.6
14,Spencer Haywood*,PF,25,SEA,68,2529,19,0.511,,0.288,8,17.6,12.8,8.5,1,2.2,,,4.6,2.6,7.3,0.138,2.2,-1,1.3,2.1
15,Calvin Murphy*,PG,26,HOU,78,2513,18.9,0.55,,0.335,2.3,5.4,3.8,23.3,2.4,0.1,,,6,1.4,7.4,0.141,1.5,-0.7,0.8,1.7
16,Gail Goodrich*,SG,31,LAL,72,2668,18.4,0.511,,0.265,3.5,4.4,3.9,25.7,1.7,0.1,,,4.9,0.6,5.5,0.099,2,-1.7,0.2,1.5
17,Pete Maravich*,SG,27,NOJ,79,2853,18.3,0.479,,0.308,3.2,11.9,7.4,28.2,1.8,0.3,,,1.8,2.1,3.9,0.066,1.3,-0.9,0.4,1.8
18,Don Nelson*,SF,34,BOS,79,2052,18.1,0.6,,0.405,6.2,16.4,11.4,12.6,0.7,0.4,,,6.2,2.5,8.7,0.204,2.2,0.2,2.4,2.3
19,Rudy Tomjanovich*,PF,26,HOU,81,3134,17.8,0.565,,0.277,6.5,15.3,10.9,11.6,1.1,0.4,,,8.2,1.9,10.1,0.155,2.7,-1.2,1.5,2.8
20,Phil Chenier,SG,24,WSB,77,2869,17.7,0.496,,0.238,2.6,7.6,5.1,13.2,2.8,1.1,,,3.9,4.9,8.8,0.147,1.4,1.5,2.9,3.5
21,Kevin Kunnert,C,23,HOU,75,1801,17.7,0.538,,0.25,13.2,25.9,19.6,8.8,0.9,2.6,,,3,2.1,5.1,0.136,1.1,-0.6,0.5,1.1
22,Earl Monroe*,SG,30,NYK,78,2814,17.7,0.504,,0.246,2,10.2,6.1,15.6,1.8,0.6,,,4.4,2.2,6.6,0.113,1.8,-0.3,1.5,2.5
23,Charlie Scott*,PG,26,PHO,69,2592,17.7,0.48,,0.22,2.8,8.1,5.4,20.6,2,0.5,,,2.7,1.9,4.7,0.086,0.7,-0.8,0,1.3
24,Lucius Allen,PG,27,TOT,66,2353,17.5,0.483,,0.262,3.7,7.6,5.7,24.6,2.6,0.6,,,2,1.7,3.6,0.074,0.6,-0.2,0.4,1.4
25,Nate Williams,SG,24,TOT,85,1945,17.5,0.52,,0.223,5.3,12.5,8.8,12.7,2.2,0.8,,,2.4,2.1,4.5,0.112,0.7,0.1,0.8,1.4
26,Paul Westphal*,SG,24,BOS,82,1581,17.3,0.544,,0.233,2.8,7.4,5.1,21.5,2.2,1.1,,,3,2.2,5.1,0.156,1.1,1.5,2.6,1.8
