Rk,Player,Pos,Age,Tm,G,MP,"PER
▼",TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Michael Jordan*,SG,28,CHI,80,3102,27.7,0.579,0.055,0.325,3.5,15.3,9.5,25.7,3,1.5,8.8,31.7,,12.1,5.6,17.7,0.274,,7.2,2.5,9.7,9.2
2,David Robinson*,C,26,SAS,68,2564,27.5,0.597,0.007,0.522,11.2,24,17.7,11.3,3.1,7.4,12.1,24.7,,7,6.9,13.9,0.26,,4.8,4.6,9.4,7.4
3,Karl Malone*,PF,28,UTA,81,3054,25.4,0.599,0.011,0.571,8.7,24.1,16.8,13.4,1.8,1,11.6,30.3,,9.9,5.2,15.1,0.237,,5.2,0.6,5.7,5.9
4,Charles Barkley*,SF,28,PHI,75,2881,24.5,0.612,0.122,0.58,10.9,22,16.5,18.1,2.4,0.9,14.3,25.1,,8.6,3.7,12.3,0.205,,5.6,0.8,6.3,6.1
5,Hakeem Olajuwon*,C,29,HOU,70,2636,23.7,0.553,0.001,0.364,10.7,24.7,17.8,9.9,2.4,6.8,12,25.6,,4.2,5.6,9.8,0.178,,1.9,3,5,4.6
6,Clyde Drexler*,SG,29,POR,76,2751,23.6,0.56,0.229,0.342,6.6,13.2,9.9,29.9,2.4,1.6,12.4,28.7,,8.3,4.5,12.8,0.223,,6.8,1.9,8.7,7.4
7,Brad Daugherty,C,26,CLE,73,2643,23,0.629,0.002,0.528,8.4,23.1,16,15.3,1.2,1.7,12.9,23.6,,8.2,3.5,11.7,0.213,,4.2,0.6,4.8,4.5
8,Patrick Ewing*,C,29,NYK,82,3150,22.8,0.563,0.004,0.335,8.4,24.9,16.8,8.5,1.4,5,10.7,27.2,,6.1,6.9,13,0.198,,2.6,2.2,4.9,5.5
9,John Stockton*,PG,29,UTA,82,3002,22.8,0.59,0.217,0.39,2.7,7.3,5.1,53.7,4.1,0.4,20.6,19.9,,8.8,4.6,13.4,0.215,,6,2.7,8.7,8.1
10,Mark Price,PG,27,CLE,72,2138,22.7,0.61,0.291,0.318,2.1,6.8,4.5,37.9,2.2,0.3,13.5,24.1,,7.5,1.6,9.1,0.205,,6.1,-0.4,5.8,4.2
11,Dominique Wilkins*,SF,32,ATL,42,1601,22.2,0.552,0.14,0.385,6.7,13.1,9.8,16.1,1.6,0.9,10.2,30.7,,3.8,1.3,5.1,0.152,,5.4,-0.7,4.7,2.7
12,Shawn Kemp,PF,22,SEA,64,1808,21.6,0.567,0.004,0.503,16.5,26.1,21.2,7.3,1.9,4.4,15.1,24,,3.6,3,6.7,0.177,,1.6,0.3,1.9,1.8
13,Scottie Pippen*,SF,26,CHI,82,3164,21.5,0.555,0.059,0.319,6.9,15.8,11.5,25.8,2.5,1.8,14,24.6,,7.1,5.5,12.7,0.192,,4.1,2,6.1,6.4
14,Larry Nance,PF,32,CLE,81,2880,21.4,0.586,0.006,0.31,8.6,17.1,13,12,1.4,4.9,6.9,19.1,,8.2,4,12.2,0.204,,3.4,1.8,5.2,5.2
15,Larry Bird*,SF,35,BOS,45,1662,21,0.547,0.169,0.214,3.2,24.6,14.4,26.9,1.3,1.2,13.1,24.7,,3,2.5,5.5,0.159,,4.3,1.3,5.5,3.1
16,Horace Grant,PF,26,CHI,81,2859,20.6,0.618,0.003,0.401,14.3,18.2,16.3,10,1.8,2.9,9.5,15.5,,9.1,5,14.1,0.237,,3.9,1.4,5.3,5.2
17,Pervis Ellison,C,24,WSB,66,2511,19.9,0.574,0.003,0.308,9.3,23.4,16.1,12,1.2,4.3,14.5,22.6,,3.2,3.7,6.9,0.131,,1.6,1.2,2.8,3
18,Kevin Johnson,PG,25,PHO,78,2899,19.9,0.561,0.041,0.493,2.4,8.4,5.5,40.6,1.9,0.5,16.6,23.6,,7,2.9,10,0.165,,3.8,-0.4,3.5,4
19,Chris Mullin*,SF,28,GSW,81,3346,19.9,0.586,0.11,0.265,4.2,10.4,7.4,12.2,2.4,1.1,10.2,23.6,,8.1,2.7,10.8,0.155,,3.6,0.1,3.7,4.8
20,Danny Manning,PF,25,LAC,82,2904,19.7,0.577,0.004,0.321,8.7,12.9,10.8,15.8,2.3,2.6,13.3,23.1,,5.3,4.5,9.8,0.162,,2.6,1.7,4.3,4.6
21,Kevin Willis,PF,29,ATL,81,2962,19.7,0.535,0.03,0.297,14.7,30.9,22.6,8.6,1.2,1.1,12.5,22,,4.7,4.1,8.8,0.143,,1.6,-1.4,0.2,1.7
22,Derrick Coleman,PF,24,NJN,65,2207,19.5,0.57,0.079,0.41,9.4,20.6,14.8,14.1,1.2,2.6,18,25.1,,3,2.6,5.6,0.121,,2.1,0.1,2.2,2.3
23,Detlef Schrempf,PF,29,IND,80,2605,19.5,0.617,0.077,0.477,9.1,22.9,16.4,17.5,1.2,0.8,14.6,21.1,,7.1,2.8,9.8,0.181,,3,0.1,3.2,3.3
24,Moses Malone*,C,36,MIL,82,2511,19.2,0.556,0.009,0.543,14,20.1,16.9,5.6,1.5,1.6,11.5,21.7,,5.6,2.2,7.8,0.148,,2.2,-2.1,0.1,1.3
25,Tim Hardaway*,PG,25,GSW,81,3332,19.1,0.537,0.236,0.244,2.7,7.4,5.1,33.3,2.3,0.2,13.2,24.4,,7.2,2,9.2,0.132,,3.9,-1.1,2.8,4.1
26,Jeff Hornacek,SG,28,PHO,81,3078,18.9,0.592,0.152,0.254,4,10.3,7.3,19.3,2.5,0.6,11,20.9,,7.8,3.8,11.6,0.181,,3,1.3,4.3,4.9
27,Larry Johnson,PF,22,CHH,82,3047,18.9,0.548,0.017,0.325,11.2,20.7,15.9,13.5,1.3,1,10,21.2,,6.4,2.5,8.9,0.14,,2.4,-1,1.4,2.6
28,Robert Parish*,C,38,BOS,79,2285,18.9,0.571,0,0.265,11.1,22.4,17,4.4,1.5,2.5,11.8,20.8,,3.8,3.6,7.4,0.155,,1.2,0.2,1.4,2
29,Šarūnas Marčiulionis*,SG,27,GSW,72,2117,18.8,0.607,0.011,0.523,3.6,7.1,5.4,16,2.5,0.3,14.7,24.9,,4.9,1.4,6.4,0.144,,1.5,-0.2,1.3,1.7
30,Hot Rod Williams,C,29,CLE,80,2432,18.6,0.569,0.006,0.529,10.9,16.7,13.9,11.1,1.2,4.3,9,16.5,,6,3.2,9.2,0.181,,2.2,1.4,3.5,3.4
31,Terry Cummings,PF,30,SAS,70,2149,18.5,0.52,0.012,0.236,12.7,19.3,16,7.7,1.3,1,9,25.1,,3.2,3.2,6.5,0.145,,1.2,-1.1,0.1,1.1
32,Micheal Williams,PG,25,IND,79,2750,18.4,0.587,0.04,0.518,3.1,8,5.7,32.2,4.1,0.5,19.2,19.1,,5.8,3.2,9,0.156,,1.9,1.8,3.7,3.9
33,Ricky Pierce,SG,32,SEA,78,2658,18.2,0.561,0.094,0.348,4,6.2,5.1,14.7,1.6,0.5,11.1,26.8,,6.5,1.4,7.8,0.142,,2.6,-1.2,1.5,2.3
34,Terry Porter,PG,28,POR,82,2784,18.1,0.575,0.287,0.326,2,8,5,24.9,2.2,0.3,12.7,21.6,,7,3.5,10.6,0.182,,3.2,0.6,3.7,4
35,Reggie Williams,SF,27,DEN,81,2623,18.1,0.528,0.122,0.211,5.6,11.3,8.3,15,2.7,1.6,11,24.3,,3.7,2.9,6.6,0.121,,2.1,1.1,3.2,3.4
36,Armen Gilliam,PF,27,PHI,81,2771,18,0.575,0.002,0.425,9.7,17.5,13.6,6.8,0.9,1.9,12.3,21.5,,5.3,2.3,7.6,0.131,,1.3,-1.2,0.1,1.5
37,Reggie Lewis,SG,26,BOS,82,3070,17.9,0.55,0.015,0.246,4.4,9.5,7.1,9,2,2,8.1,23.6,,5.6,3.5,9.1,0.143,,1.3,1,2.3,3.3
